numActividad,fechaDoc,fechaZafra,actividad,duracion
2020-01,abr-20,20-21,ALINEADO Y TENSADO BANDA ALIMENTACION MOLINO,4
2020-02,abr-20,20-21,ASENTAMIENTO MOLINOS,46
2020-03,abr-20,20-21,DESACOPLAR LUBRICACION DE CHUMACERA,35
2020-04,abr-20,20-21,"DESMONTAJE ACOPLE DE MOLINO ",53
2020-05,abr-20,20-21,DESMONTAJE COLADOR ROTATIV,35
2020-06,abr-20,20-21,DESMONTAJE COLADORES DS,35
2020-07,abr-20,20-21,DESMONTAJE COMPONENTES BANDA ALIMENTACION MOLINO,43
2020-08,abr-20,20-21,DESMONTAJE CORTINAS MOLINO,19
2020-09,abr-20,20-21,"DESMONTAJE DE VALVULAS FASE ",86
2020-10,abr-20,20-21,"DESMONTAJE DONELLY MOLINO ",27
2020-11,abr-20,20-21,"DESMONTAJE ELEVADOR MOLINO ",45
2020-12,abr-20,20-21,DESMONTAJE SINFIN DESALOJO DE BAGAZ,9
2020-13,abr-20,20-21,DESMONTAJE SISTEMA HIDRAULIC,35
2020-14,abr-20,20-21,"DESMONTAJE TUBERIAS DE AGUA, AIRE Y VAPO",17
2020-15,abr-20,20-21,"EVALUACION ACOPLE DE MOLINO ",22
2020-16,abr-20,20-21,EVALUACION COLADORES DS,9
2020-17,abr-20,20-21,EVALUACION COMPONENTES DE BANDA ALIMENTACION MOLINO,41
2020-19,abr-20,20-21,EVALUACION CORTINAS MOLINO,17
2020-20,abr-20,20-21,EVALUACION DE COLADOR ROTATIV,9
2020-21,abr-20,20-21,EVALUACION DE TUBERIAS DE AGUA; AIRE Y VAPO,4
2020-22,abr-20,20-21,"EVALUACION DONELLY MOLINO ",24
2020-23,abr-20,20-21,EVALUACION LUBRICACION DE CHUMACERA,17
2020-24,abr-20,20-21,EVALUACION SINFIN DESALOJO DE BAGAZ,18
2020-25,abr-20,20-21,EVALUACION SISTEMA HIDRAULIC,18
2020-26,abr-20,20-21,"INSP. DE ACOPLE FLEXIBLE DE MOLINO ",30
2020-27,abr-20,20-21,"INSP. DE EXCENTRICOS, PASADORES, SOPORTE DE CUCHILLA CENTRAL PERNOS Y BISAGRAS DE MOLINO ",72
2020-28,abr-20,20-21,INSP. DE SINFIN DESALOJO DE BAGAZ,3
2020-29,abr-20,20-21,"INSTALACION DE COMPONENTES ELEVADOR MOLINO ",2.5
2020-30,abr-20,20-21,INSTALACION DE PERIFERICOS LUBRICACION DE CHUMACERA,0.5
2020-31,abr-20,20-21,INSTALACION DE PERIFERICOS SINFIN DESALOJO DE BAGAZ,0.5
2020-32,abr-20,20-21,INSTALACION DE PERIFERICOS SISTEMA HIDRAULIC,2
2020-33,abr-20,20-21,"MONTAJE CUCHILLA CENTRAL Y SETTING. MOLINO ",261
2020-34,abr-20,20-21,MONTAJE DE 4A. MAZA MOLINO,67
2020-35,abr-20,20-21,MONTAJE DE MAZAS INFERIORES MOLINO,160
2020-36,abr-20,20-21,MONTAJE DE VALVULAS FASE,118
2020-37,abr-20,20-21,MONTAJE ELEVADOR MOLINO,65
2020-38,abr-20,20-21,"MONTAJE MAZA SUPERIOR Y CORONA DE 4A MAZA MOLINO ",146
2020-39,abr-20,20-21,"MONTAJE PEINES INFERIORES, SUPERIORES Y ACCESORIOS DE DRENAJE MOLINO ",269
2020-40,abr-20,20-21,ORDEN Y LIMPIEZA NAVE MOLINO,30
2020-41,abr-20,20-21,OVERHAUL GRUA PUENTE DE MOLINO,21
2020-42,abr-20,20-21,"PREPARACION DE 4A. MAZA MOLINO ",68
2020-43,abr-20,20-21,"PREPARACION DE MAZA CAÑERA MOLINO ",278.5
2020-44,abr-20,20-21,"PREPARACION DE MAZA SUPERIOR MOLINO ",273
2020-45,abr-20,20-21,"PREPARACION DE MAZAS BAGACERA MOLINO ",289
2020-46,abr-20,20-21,REPARACION LUBRICACION DE CHUMACERA,70
2020-47,abr-20,20-21,REPARACION SISTEMA HIDRAULIC,45
2020-48,abr-20,20-21,"REPARACION Y MONTAJE ACOPLE DE MOLINO ",64
2020-49,abr-20,20-21,REPARACION Y MONTAJE BANDA ALIMENTACION MOLINO,7
2020-50,abr-20,20-21,REPARACION Y MONTAJE CORTINAS MOLINO,34
2020-51,abr-20,20-21,REPARACION Y MONTAJE DE COLADOR ROTATIVO,45
2020-52,abr-20,20-21,REPARACION Y MONTAJE DE COLADORES DS,31
2020-53,abr-20,20-21,"REPARACION Y MONTAJE DE TUBERIAS DE AGUA, AIRE Y VAPOR",25
2020-54,abr-20,20-21,"REPARACION Y MONTAJE DONELLY MOLINO ",118
